"vendorNumber","brand","PurchasePrice","ActualPrice","TotalSalesQuantity","TotalSalesDollars","TotalSalesPrice","TotalExciseTax","TotalQuantityPurchase","TotalPurchaseDollars","freightCost","GrossProfit","profitmargin","stockturnover","salestoPurchaseRatio"
1392,6479,5.95,8.99,61253,567452.47,110538.35,6872.19,61869,368120.55,79528.99,199331.92,35.1275094458572,0.990043478963617,1.54148544546073
4425,3485,15.03,19.99,23843,485688.57,237850.84,43809.65,24202,363756.06,144929.24,121932.51,25.1050812251974,0.985166515164036,1.33520406505393
17035,800,24.02,31.99,14506,468587.94,124940.36,15231.3,15142,363710.84,123780.22,104877.1,22.381519251221,0.957997622506934,1.28835296742874
12546,1345,28.45,37.99,12902,494732.98,272052.08,10162.8,12761,363050.45,123880.97,131682.53,26.6168893773769,1.01104929080793,1.36271138074612
3664,1956,39.99,53.99,7922,456461.78,290627.85,6241.49,9013,360429.87,30234.42,96031.91,21.0383243915843,0.878952623987573,1.26643715738654
17035,2932,24.61,31.99,13785,444452.15,262340.49,10859.05,14642,360339.62,123780.22,84112.53,18.9249911379661,0.941469744570414,1.23342570544976
12546,5391,12.02,15.99,29911,491568.89,219621.59,54956.1,29914,359566.28,123880.97,132002.61,26.8533287368938,0.999899712509193,1.36711621011848
3960,1384,18.93,25.99,17620,470254.8,239842.66,13877.41,18900,357777,257032.07,112477.8,23.9184799389608,0.932275132275132,1.31437962753335
1392,38546,5.06,9.99,70188,675519.62,133090.85,7876,70531,356886.86,79528.99,318632.76,47.1685426398126,0.995136890161773,1.89281168827566
12546,3982,14.38,19.99,22099,469603.01,226692.6,17402.72,24801,356638.38,123880.97,112964.63,24.0553462380916,0.891052780129833,1.31674838249321
3252,3180,10.94,16.99,33938,581784.62,232222.54,62355.96,32413,354598.22,61966.91,227186.4,39.0499150699446,1.04704902353994,1.64068680322197
1128,1789,17.16,22.99,20025,469722.75,237927.51,15770.39,20590,353324.4,68601.68,116398.35,24.7802240789913,0.972559494900437,1.32943762163043
1485,1269,19.11,25.99,16976,447608.24,227255.99,13370.66,18458,352732.38,8497.59,94875.86,21.1961826261286,0.919709611008777,1.26897405903025
3960,3456,13.27,18.99,25684,483047.16,171496.45,47193.95,26543,352225.61,257032.07,130821.55,27.0825627046436,0.967637418528426,1.37141407747154
4425,23143,4.65,6.79,72139,591669.53,101451.92,8099.38,74342,345690.3,144929.24,245979.23,41.5737531726537,0.970366683705039,1.71155953753982
1128,1231,9.48,12.99,35733,435377.67,192455.16,14044.22,36450,345546,68601.68,89831.67,20.6330448688377,0.980329218106996,1.25997022104148
480,3344,14.49,19.99,24620,516761.8,236205.7,19388.25,23798,344833.02,89286.27,171928.78,33.2704120157488,1.03454071770737,1.49858560528803
8004,5191,7.93,9.99,43057,430139.43,167542.29,16928.97,43352,343781.36,50293.62,86358.07,20.0767620861915,0.99319523897398,1.25120055956495
3960,3878,7.96,10.99,43690,499703.1,175166.17,34397.94,43015,342399.4,257032.07,157303.7,31.4794324870108,1.01569220039521,1.45941581673332
3960,3352,18.79,24.99,18976,474449.24,91916.84,14945.69,18095,340005.05,257032.07,134444.19,28.3368964823297,1.04868748273004,1.39541821511181
12546,3253,9.08,12.49,37497,463220.03,154889.61,68894.6,37423,339800.84,123880.97,123419.19,26.6437507030946,1.00197739358149,1.36321037346465
3664,1921,52.71,67.99,5463,379168.37,230498.02,10040.87,6436,339241.56,30234.42,39926.81,10.5301003878567,0.848819142324425,1.11769433556431
3960,4264,11.53,16.99,28860,447487.4,211607.67,22722.45,29352,338428.56,257032.07,109058.84,24.3713767136237,0.98323793949305,1.32225069893628
3960,2752,26.31,38.99,13083,490792.17,271655.89,10306.04,12778,336189.18,257032.07,154602.99,31.5007042594017,1.02386915010174,1.45986902374431
12546,3997,14.05,19.99,23007,474637.93,233740.73,18117.01,23835,334881.75,123880.97,139756.18,29.4447980590173,0.965261170547514,1.41732993810502
3664,3234,45.92,62.99,7465,467921.35,294818.1,13719.89,7290,334756.8,30234.42,133164.55,28.4587463256378,1.02400548696845,1.39779490663072
8004,1767,19.37,24.99,16336,412468.64,203881.09,12865.98,17274,334597.38,50293.62,77871.26,18.8793164978554,0.945698737987727,1.23273123059123
3664,5337,20.6,27.99,14262,394423.38,219275.17,11234.04,16167,333040.2,30234.42,61383.18,15.5627640531857,0.882167377992206,1.18431162364183
7239,4437,23.48,30.99,13562,461672.38,235529.35,24922.55,14171,332735.08,16978.67,128937.3,27.9283114142544,0.957024910027521,1.38750738275026
1392,11213,12.66,19.99,25652,503067.48,150294.92,2871.66,26190,331565.4,79528.99,171502.08,34.0912674379191,0.979457808323788,1.51724962858006
8004,5299,15.26,21.99,19895,412339.05,130310.43,36554.34,21713,331340.38,50293.62,80998.67,19.6437058289774,0.916271358172523,1.24445758769275
7239,782,35.15,54.99,9148,444072.52,151788.57,7204.4,9415,330937.25,16978.67,113135.27,25.4767554632743,0.971640998406798,1.34186320820639
3960,2889,23.07,31.99,13468,432258.32,78540.69,10606.02,14260,328978.2,257032.07,103280.12,23.8931479676319,0.944460028050491,1.31394213963114
3960,3549,17.82,26.99,16532,407030.68,212090.72,13020.04,18322,326498.04,257032.07,80532.64,19.7853979950602,0.902303242004148,1.24665581453414
17035,857,16.17,21.99,19674,462932.26,199801.36,20657.7,20165,326068.05,123780.22,136864.21,29.5646300389608,0.975650880238036,1.41974124726418
3960,8506,21.42,29.99,14633,449036.67,198940.7,26889.58,15187,325305.54,257032.07,123731.13,27.5547941329602,0.963521432804372,1.38035359004338
4425,14672,11.61,21.99,27729,508256.95,143395.56,3105.32,27814,322920.54,144929.24,185336.41,36.4651009691063,0.996943985043503,1.57393812731764
4425,6579,5.8,8.99,56157,605967.38,121728.33,6301.71,54960,318768,144929.24,287199.38,47.3951881700299,1.02177947598253,1.90096678462079
3252,2164,12.14,16.99,24495,431674.05,208640.77,45007.59,26071,316501.94,61966.91,115172.11,26.6803413362466,0.939549691227801,1.36389069210761
2000,27854,10.2,14.99,30768,443192.12,129556.42,3445.72,30869,314863.8,19016.59,128328.32,28.9554606701942,0.996728109106223,1.40756771658095
8112,3682,16.66,22.99,17869,413944.31,199630.16,14073.02,18848,314007.68,48347.26,99936.63,24.1425301872129,0.948058149405772,1.31826173805685
9552,7878,9.99,15.99,31160,471064.4,117338.98,57256.32,31200,311688,55551.82,159376.4,33.8332508251526,0.998717948717949,1.51133312799979
2561,1634,20.73,29.99,14614,444949.86,224519.45,26854.42,15031,311592.63,9654.5,133357.23,29.9712938442098,0.972257334841328,1.42798582880474
12546,3444,29.13,39.99,10362,375689.38,242129.64,19042.86,10636,309826.68,123880.97,65862.7,17.5311583202059,0.974238435502068,1.2125791749116
17035,2426,41.59,51.99,7445,413475.55,252067.74,5866.5,7445,309637.55,123780.22,103838,25.1134559226053,1,1.33535338333481
1392,32915,9.99,14.99,30869,472099.31,126472.2,3459.25,30842,308111.58,79528.99,163987.73,34.7358546234689,1.00087542960897,1.53223488062344
4425,35412,5.97,9.99,50797,491916.09,117789.6,11409.35,51294,306225.18,144929.24,185690.91,37.7484928374675,0.990310757593481,1.60638680986325
3960,3840,14.39,22.99,21167,438524.33,224450.25,38894.1,21076,303283.64,257032.07,135240.69,30.8399513431786,1.00431770734485,1.44592148129058
9552,3769,7.02,9.49,42105,394134.45,134715.91,77358.39,42549,298693.98,55551.82,95440.47,24.2152062576616,0.989564972149757,1.31952592415823
8673,8815,6.07,8.99,48587,431702.35,97686.77,5449.72,48853,296537.71,15919.7,135164.64,31.3096836280831,0.994555093852988,1.45580927970341
3960,3879,7.91,12.99,36604,427609.96,187268.26,28815.44,37344,295391.04,257032.07,132218.92,30.9204490933747,0.980184233076264,1.44760639997747
12546,1375,11.5,14.49,26121,402621.29,203013.36,20569.55,25183,289604.5,123880.97,113016.79,28.0702468565435,1.03724734940237,1.39024528279084
8892,41034,5.26,8.99,54744,509372.48,132593.95,6135.29,54738,287921.88,11595.97,221450.6,43.4751794992929,1.00010961306588,1.76913432212932
1128,1545,19.42,29.99,14501,423808.99,253424.58,11423.39,14785,287124.7,68601.68,136684.29,32.251389948099,0.980791342576936,1.4760450424502
480,2665,15.38,19.99,19088,400461.12,215262.61,15034.06,18574,285668.12,89286.27,114793,28.6652047519619,1.02767309141811,1.40184042937658
1128,1770,26.42,38.99,10128,389506.72,233847.24,18613.13,10746,283909.32,68601.68,105597.4,27.1105463854385,0.94249022892239,1.37194059004474
